Image names,Worm 1 (blue) integrated Intensity,Worm 2 (teal) integrated Intensity,Worm 3 (green) integrated Intensity,Worm 4 (yellow/red) integrated Intensity,Worm 5 (orange) integrated Intensity,Worm 1 (blue) integrated Area,Worm 2 (teal) integrated Area,Worm 3 (green) integrated Area,Worm 4 (yellow/red) integrated Area,Worm 5 (orange) integrated Area
SUN10_pmk-1_D14_2,1013702,721416,1185152,1119941,598381,16941,14769,16760,14814,13059
SUN10_pmk-1_D14_3,684635,1300905,387430,876548,592053,13618,16879,13333,15635,13900
SUN10_rhy-1_D14_1,926134,766788,705253,798090,805593,16756,16422,14772,15165,16041
SUN10_rhy-1_D14_2,720768,759222,698458,604292,561087,16197,15779,16239,14875,15197
SUN10_rhy-1_D14_3,845201,624456,884424,894064,431447,18287,14321,16586,18840,13588
SUN10_skn-1_D14_1,962779,1178386,450285,1622240,1476878,15712,17759,12026,17699,18284
SUN10_skn-1_D14_2,853704,1563016,1348489,1242283,1407730,14647,17269,16832,15357,16191
SUN10_skn-1_D14_3,929004,1233143,1475814,1382779,1142801,15764,16660,17470,17061,16500
SUN10_vhl-1_D14_1,774277,691064,866645,873378,693629,15554,14503,16275,16815,14769
SUN10_vhl-1_D14_2,697013,993392,808839,739728,743031,14591,16320,16066,15835,15832
SUN10_vhl-1_D14_3,885705,620659,850532,854489,880266,16621,14889,16070,17217,16380
SUN10_wdr-23_D14_1,681961,700988,617197,777067,763885,13187,15889,14155,14835,12806
SUN10_wdr-23_D14_2,776789,677058,589437,430285,356702,15807,15554,14631,12380,14891
SUN10_wdr-23_D14_3,399121,547996,729240,591285,640354,13460,13993,14295,14296,13641
WS4274_EV_D14_1,372705,156553,34250,165145,146152,38884,15093,7352,15101,14035
WS4274_EV_D14_2,192522,144726,266590,181085,135380,15508,13414,14413,14377,12021
WS4274_EV_D14_3,126049,121449,121235,157387,156177,10546,10701,10544,11890,13240
WS4274_hif-1_D14_1,249014,119607,142492,101425,93458,15420,13224,12981,12007,10163
WS4274_hif-1_D14_2,29470,1143717,149083,134426,14227,8271,180447,16688,18410,3359
WS4274_hif-1_D14_3,147002,93018,136858,136379,141132,11278,10539,14824,11554,11103
WS4274_rhy-1_D14_1,154091,447056,131304,141806,153164,14630,23920,11925,14368,13699
WS4274_rhy-1_D14_2,128311,190929,153834,153307,159403,10300,16795,11165,12258,11269
WS4274_rhy-1_D14_3,295781,212005,196368,126721,119910,12877,17507,14199,11220,10471
WS4274_vhl-1_D14_1,111651,91432,105315,120806,126212,11975,12570,12205,12560,15486
WS4274_vhl-1_D14_2,133065,109238,86026,127206,105962,15997,11932,11739,12646,11550
WS4274_vhl-1_D14_3,102820,96644,99533,315050,0,12269,11150,11888,32952,0
