,OP341 EV,,,,,,,,,,,,,,,OP341 gsk-3,,,,,,,,,,,,,,,OP341 pmk-1,,,,,,,,,,,,,,,OP341 skn-1,,,,,,,,,,,,,,,OP341 wdr-23,,,,,,,,,,,,,,,SUN09 EV,,,,,,,,,,,,,,,SUN09 gsk-3,,,,,,,,,,,,,,,SUN09 hif-1,,,,,,,,,,,,,,,SUN09 pmk-1,,,,,,,,,,,,,,,SUN09 rhy-1,,,,,,,,,,,,,,,SUN09 skn-1,,,,,,,,,,,,,,,SUN09 vhl-1,,,,,,,,,,,,,,,SUN09 wdr-23,,,,,,,,,,,,,,,SUN10 EV,,,,,,,,,,,,,,,SUN10 gsk-3,,,,,,,,,,,,,,,SUN10 hif-1,,,,,,,,,,,,,,,SUN10 pmk-1,,,,,,,,,,,,,,,SUN10 rhy-1,,,,,,,,,,,,,,,SUN10 skn-1,,,,,,,,,,,,,,,SUN10 vhl-1,,,,,,,,,,,,,,,SUN10 wdr-23,,,,,,,,,,,,,,,WS4274 EV,,,,,,,,,,,,,,,WS4274 hif-1,,,,,,,,,,,,,,,WS4274 rhy-1,,,,,,,,,,,,,,,WS4274 vhl-1,,,,,,,,,,,,,,
D4,3.17525072242053,8.41088082901554,6.81371948551929,5.0373038056332,7.09464117831401,7.78496414862026,5.85826029069122,7.97193331293974,7.02211913405943,6.41388733183857,8.13964730104735,7.617203486169,6.07934557185652,7.90231273731446,7.20677731673582,5.7397576457011,6.78619686992218,5.70571040818457,6.22054218484388,6.29556568586821,6.14086186339635,7.06402378592666,6.34769786910198,5.86956902592852,6.16898775586503,6.57145264577014,6.09477796052632,6.48259259259259,5.67344970585399,5.81434021324464,5.91120394986707,7.19413612565445,3.50135514043,6.1199768719283,6.21609442060086,6.17797721781153,6.65388696328783,7.36558847512911,3.79027153090122,6.68162228720948,6.34992028195016,5.82462057335582,6.27709669562393,6.61280288146693,6.00119104335398,5.76144042425798,6.1357086022456,5.63339636602812,5.43383685800604,6.34737234439061,5.75721072276892,5.75439222331223,5.8584742837418,5.2259956776783,5.82590894202424,6.02447025445518,5.35449608688708,5.54993135011442,5.91676729342764,5.82691247144095,7.10711378805144,7.27420042643923,8.02232768009958,7.31888215046714,6.61097380128522,7.64161508989095,7.11853532587434,6.88966892700439,7.43091980235652,7.13123924268503,7.18806116722783,6.91456634544107,6.76882782310004,6.85404270213511,7.26038280967858,19.0802549995634,19.6235230934479,3.77971291866029,21.1306912442396,20.8503233492172,3.63579499596449,19.7654268083648,20.8540707890553,4.22396838525871,18.9217120907262,19.2514433433865,4.41441115234905,21.104285840007,20.4467835200578,5.38267181183388,19.0684116597264,18.2690766336796,20.9018534524152,19.1208239570711,16.8244047619048,18.5435569958063,18.4956353055286,20.1941691523141,19.7435249526216,18.5917439703154,19.6039728438522,16.1301258042831,17.0049091801669,19.6899843777122,16.4744970534444,19.1177483683829,20.5305535585909,18.9524829600779,20.0418631587656,17.1897489739429,20.2765894819466,21.397756841633,19.6291296327352,18.3955441302485,20.4165568151859,16.6066007247086,19.3745293038525,19.4843255940013,17.0496128477201,18.2626637779841,17.3034126513676,18.2032712250232,14.1747335313647,16.8771278522275,17.9042405283281,16.2237282168632,18.813291915311,15.7314285714286,16.4768155633204,17.6342728687532,16.9820178849145,17.6668295861844,17.9070591211942,17.9994959677419,15.9347408829175,17.8211502782931,16.8594166738364,17.8389285399595,17.8370143955827,12.6991536515138,16.0576609616952,18.2838060686016,17.8642205252375,17.498250138147,18.441776253097,17.7480381165919,16.6276713495104,18.8968824940048,17.0708434183578,14.6127320954907,14.8990859232175,19.1915220214901,21.6256440026123,17.6551049902236,15.9254699717185,16.4072610784837,16.6281421554464,19.7132504056247,15.1140571215927,17.23016937783,15.6472642607683,19.9517585104382,18.3202054794521,18.8821696480092,16.1221642240514,19.8879644511676,21.1248165810712,19.5771105478651,18.2801759410802,19.9094926979247,17.2628880395264,13.0948806774442,21.4987122007059,17.1067124049694,20.2487480651917,16.7969538404037,20.5721811538788,21.089219330855,21.3385700258859,15.9672087678982,15.226295087455,14.6393070923272,14.7339136183341,14.7605980800272,16.9791056910569,15.619950617284,10.7091240875912,14.4958736356376,15.9168612797758,15.6296296296296,15.4771714922049,15.5775401069519,11.065732237796,15.8212622157275,15.2040876486194,42.3385926867569,45.3523420016977,28.8739106248841,36.7956907956908,50.3968986905582,48.5964841868679,48.0252580716011,54.8811303704921,61.7942538026306,38.9909246447966,54.6179419136075,54.3600333434374,38.2813704808322,45.46276045515,32.8890795230334,27.7059379926432,29.4799441065264,42.6085834896811,45.5155018778997,37.5248948696384,47.4371308617377,38.1600111183174,36.6102689915009,47.0241905191195,55.6611451779884,59.070937412293,36.1693974859124,50.1991310644461,34.6942171303873,30.8401305057096,47.1122296173045,48.3283003633428,45.685782834146,41.5316490331996,49.7325385796826,46.2870634087843,46.203187250996,46.8579645310753,48.5832966064346,60.2180599647266,43.9818166926038,27.5349403457512,46.3768624697714,54.0202741059119,44.6678849515335,49.1721472839956,55.5979789103691,44.8798172021008,51.672509780319,53.4326374286573,28.3603400668507,48.168860446513,50.8038100653966,38.085758951835,50.906149341142,43.1283000419053,54.7806952110995,50.083376146789,49.6858831159472,39.0669886167644,36.2762814943527,32.6328202581927,30.0890165111271,29.8551198257081,33.4942628788478,35.168134872418,36.926357492426,29.2469370010276,31.697262593481,33.614495443807,33.9622822556835,30.6097522109792,33.0981347830162,32.7235610766046,29.6122287343577,27.3866776315789,34.3811294034342,37.6641337386018,43.7486639676113,45.8752987367702,29.844840635775,43.3381489493201,40.5357025607354,40.2534497944803,39.4326953003424,35.9765618685848,35.651035131744,42.2774933949802,39.3469079939668,46.795532254388,47.2460424385315,41.4464027040077,35.0291763297673,36.8647594278283,34.7990914886835,42.7687284191563,37.2324004867026,37.2003539278295,39.7712346930817,37.3967157141696,22.4973511997507,45.2864026502033,42.8089869146572,37.4183778641085,30.2299411269975,31.4375244197859,29.6806318681319,24.7312726699259,24.7433604815864,33.3122329059829,27.1115090346736,30.9114364283403,31.5620645978467,21.7201052295918,27.9904513180446,31.0129397179606,25.3368227116657,30.0454584294625,33.3007749434937,24.0699277189444,3.24493362403192,5.54652103559871,3.63446451985688,3.57323996971991,5.44207764952781,5.130204778157,2.89031551706977,5.80676758682102,5.71453445747801,0,5.57337883959044,3.20410528058268,0,5.82053072625698,0,5.92036405005688,6.67253032126655,5.95266789775488,6.20858600442776,6.15990588235294,6.08872193900367,6.08207752819638,6.17710073710074,6.06543770749607,6.30255881525916,6.24742478327384,5.72258003409737,5.99363675582399,5.93587866108787,6.01424556643086,6.81125972550048,7.29381806785239,2.86271506046148,6.64861837191934,6.7734496124031,4.53366174055829,6.68636241370035,6.80373637778931,5.09172025723473,6.43530313188392,7.31408550647508,4.58874970456157,6.70995123713202,6.88261695149318,0,5.62888265746333,5.03409032390957,5.71916790490342,5.61713861491144,5.38506661364088,5.51300282458362,5.51293103448276,5.66794087665647,6.09661977334896,5.46872265966754,5.33336544018494,5.91849502158781,5.51113070310778,5.20131242353465,5.77071600965406
D7,9.92489172555277,9.09545070592494,11.6022458628842,9.30460652591171,10.1892942063446,10.5033818640376,10.0457344960059,9.78343502349393,12.6146776311243,9.49136091415984,9.05833791964777,11.9088064371927,9.97724254497163,9.17583948725094,9.90007633058081,7.84343207660084,9.12213687150838,8.76568501920615,7.5576791289119,8.56222928097026,7.892268193937,7.66560144215011,7.93952900973182,8.5728947589804,7.28578537070824,7.64860985191901,8.83950617283951,7.59308072487644,7.85547591265211,8.85625539257981,9.86826516220028,9.78386924162086,8.46266371831944,9.50276277013752,10.7628690593788,10.0138266068759,10.0972469906375,17.0870233702337,8.79979238754325,9.39590195968958,9.25798630918426,9.29166666666667,9.1314196313176,10.411750990907,7.97686846324147,6.62280987429167,5.51399150619582,6.27282318188212,6.31344401448009,4.90855230026365,6.94953949928655,6.54784193521663,5.45866878861636,6.76538908246225,7.07096858127887,5.5486417844523,6.80157453166303,6.10541352281884,5.75632244467861,6.55744765438643,8.55735317909723,11.5802428401742,8.76700044836347,8.42907997784985,10.3496112201148,9.50780682643428,8.9527825949866,10.5407470950636,9.63880150990878,8.04072398190045,10.9950339980136,9.90883977900553,8.51752869045747,11.0291512657786,9.22296780769558,22.4867922017433,22.0150265585686,23.7792694128453,21.6925920854443,22.356474643033,19.5382132033206,25.1441676551997,23.7136647136647,21.6963526047842,24.6465109908923,22.6145383651302,22.7261106454317,23.2253810082063,24.2956144715332,23.343845300804,16.9828339575531,16.3087390384034,17.9024868123587,23.5065789473684,15.3811821471653,21.7012025165246,23.104958846337,19.4665912518854,15.3858695652174,22.953192108903,22.7749708794409,23.8056045118082,21.6168307245441,19.6896070681237,16.5196456761972,22.6425490468902,22.5283213891951,20.2727272727273,24.1713757953068,22.9053662574148,20.1131623267263,24.5775326289621,17.4078161614635,21.1928924241452,22.3236332204855,20.8308446945106,22.1495234030445,19.4226519337017,21.6246299585554,22.2059970227547,23.8500338066261,17.1227760736196,22.8658976717854,22.7901166888558,21.4052323743282,21.0372222677708,21.4938025065418,25.4094305404425,21.6743912562258,24.3413809011226,22.8770533323685,18.1508539674757,21.7683988764045,24.1047180667434,17.3767101745557,18.015801521081,18.7027889551825,19.015350877193,18.4323677477924,13.874176113894,16.6776143912816,16.2332761578045,16.4836402887405,13.9414493568567,16.8494965946106,17.2718771331058,18.8966930265996,19.5046699631112,11.6384604084031,20.2703235990529,26.1271974429754,24.8232602313935,22.0378296286069,23.6041971045292,26.5916652803194,22.1512629161883,21.5440114354499,26.9610359126829,20.7665303086649,19.5031675778877,26.2243448058099,21.4249103805964,21.6611098066839,26.4671490831346,17.8271911260308,27.2755152109912,27.4920152683649,30.2408049965302,24.7470832354553,23.9279969841669,29.4063932922835,24.4767687847685,25.8191758354404,28.070517027638,28.1356283063712,15.4078614950215,29.0651898262102,28.7164532954007,26.35031432907,25.610445800819,16.5650259815243,17.3536614454957,18.0951687116564,17.7120280320366,17.9763186964927,17.7787191627212,17.8208379272326,18.30194969921,16.9257974511726,17.5898299515321,18.1400046981442,19.2667652495379,17.4768072943049,17.4088308640164,17.5853303728658,74.2701763587491,75.1316093124279,77.0136320691051,78.3081819387349,71.2119648584577,68.3445730922879,71.9207066011423,59.8117477477477,74.3686695866411,82.079845814978,74.6911020181705,79.7106541348641,69.894674556213,80.6576080227807,57.5821439416945,62.3780878479391,56.0122750111302,37.7775028717858,66.2548754062839,70.1394996209249,42.7354118039346,54.7494449469616,32.3998070894623,58.1193570451436,51.2078174881258,63.8537263219484,84.7433558353099,73.3565711878686,73.1416386663221,61.1832016197505,72.1645762067655,67.0465000356049,63.6787948733524,76.5794919366348,81.2007513661202,63.9580112805515,89.9966887417219,71.292209631728,81.3586160108548,76.998639363222,81.9517236951916,72.7579558342785,77.5452259448266,81.3119266055046,73.6816119562316,81.8293945010813,71.5381646369868,61.6273991655076,77.145296432652,78.7515314414302,83.8039112744455,77.2777348957968,79.194609024025,79.0447617739942,84.5418418286915,79.0478177589274,82.5913004938584,81.011320754717,74.3042982393613,88.6955469822795,43.5064496923993,39.665287084483,44.2382516783317,43.3805004314064,42.074762550882,43.793395252838,44.9430438179107,40.0685349414686,45.091723396632,40.1630889513751,42.8495117329835,45.76909710155,37.7128754171301,44.0351288056206,43.8264964420259,75.1341816468054,86.0700871660407,83.567380183091,68.2751736111111,79.8167437015819,76.2242810268288,84.2492589088616,81.5396589063346,74.9220862846104,83.4957089415389,79.7189061632426,82.3906139231533,86.5353111432706,82.9815794899993,70.8300644028103,55.4990303813833,47.0426840296618,57.5693203076284,54.2197779745284,48.3393563801986,40.5954331279449,45.5294970285549,49.2986183330857,53.8110756123536,56.8245412018712,51.8938993987388,48.0236193122612,47.645883541942,52.2671250991801,54.9571537343393,44.1497955731002,43.4795247188627,39.204572098476,39.1753385602281,42.7508535071384,46.4661894502745,46.4533050547897,44.382855567806,41.3554543482975,43.4329801607054,48.065947769953,47.4986097594884,40.0856573705179,43.4776351902678,43.7470214165631,7.787126665012,7.89561064362065,8.45832742735649,8.07931962162631,7.15249192578051,7.69281732245294,7.31972607612949,7.48000291928186,7.64112267423526,7.45848708487085,8.15377128953771,8.01318039327444,7.26102681721948,7.49973831123517,7.83955360409806,6.70949143791412,7.18312893602917,7.65402746464439,6.92105263157895,6.96958540099248,7.48820224719101,6.27307655364518,6.95622119815668,8.06055325637116,7.01743439163149,6.67647058823529,7.30804475226425,6.72093023255814,7.07336274764253,7.62685265911072,7.52992895204263,7.44935584184807,8.11151379983273,8.50117407639324,7.49953059656909,8.88527724665392,7.72659619450317,7.08169014084507,8.18523878437048,7.18466184877575,6.22671093894115,7.90273357049242,8.19361015924209,7.61903199343724,7.22580398162328,6.24477481416703,6.39661792940481,6.67158165452207,6.1689930647002,6.74302575107296,5.83772918913619,6.59502948609941,6.74317283507007,7.21151763431746,6.18566281054428,6.76522043386984,6.26275550007801,5.96643356643357,6.43732744340144,6.49576875534848
D14,9.69377715831762,14.0954135750212,13.9223782530276,11.7019647500722,15.3823152498932,14.7750395659055,13.3092121928565,13.6830454254639,12.0638165080356,9.88101227227685,13.2137170851194,13.1582540843697,10.5117240342703,12.0962379702537,13.6391154111956,9.85347300994195,26.7375017702875,11.2643874072589,11.4495230292035,18.1505752147954,7.72280363536216,17.8401301668628,10.362899063629,28.5768398268398,15.6737532165176,8.52306439942113,14.987785950469,8.17301649646504,22.1143322696721,23.2453213404904,8.9097289292383,15.5099455891535,12.483048530417,12.7163471893173,16.745232172471,16.7785478769935,12.8884742660001,16.8888966872544,13.6154584379153,12.7027161902046,17.4381118881119,15.6176204273814,13.5351712825689,22.0473488372093,12.2723309820084,9.47604862732469,10.2713511653909,10.9348652669863,9.61485761452744,10.0791773325095,11.3780943281508,9.70633364589549,10.2722513089005,9.25100430416069,9.02096947234956,9.89416881443299,9.41568845177665,9.45847997717112,8.98342827550492,8.24788219460059,11.365824034009,10.4980648605365,12.2649013393314,12.6169617126389,10.3567786276466,14.8292276347472,11.6141309059384,8.93641809348616,11.3757113589802,11.5288248337029,11.9975136079565,12.881231180997,12.1414204902577,11.2150634527296,14.3076169962796,17.7396749267253,16.1819728924816,17.8444432212253,20.043746386587,18.3582376474256,17.5871059013743,16.6873339857402,19.3729241472172,13.9311797752809,18.5358104799216,18.3527640474973,18.608551952076,16.7576567183631,15.2426459827309,13.1799010003094,14.4558273381295,10.7693826647267,10.6140296018345,14.486686516376,12.4919529837251,13.5995114890537,12.4457334923561,11.175292323335,15.5416748639255,14.6912229955708,9.24101307189543,16.5028723553314,15.4995259764884,16.9224205315268,12.7515061728395,18.8066937119675,15.4040418621436,17.7391509433962,16.811517389233,16.030120984564,15.7287353374784,15.5386426511272,19.1581697680347,12.2086527122642,16.4611056193445,21.6544786843366,13.7305079740106,18.8586497890295,11.2642881884309,14.8985468956407,14.5384453190891,15.7352847088932,13.5753443815118,13.2498118371536,14.9261766094758,16.1614537593731,11.0816158285243,13.6390442297916,13.2766380407125,12.6728013755333,14.1012089810017,13.964745383324,15.7735288290073,12.2438769101947,14.286420657449,14.3456135321101,13.8684447783621,14.4991290463057,15.9431702344546,14.8792855676452,16.5858112362695,15.7098902578604,15.9700409596255,13.6588591898595,15.0836390315481,15.264589993309,16.5606060606061,13.2533314228399,15.7363209623001,15.8361109364191,16.2596672403901,14.6714453909551,13.0096570752858,13.3867601013866,13.8242132305716,14.4771225532976,11.9531720995443,15.6595088080237,12.9163346613546,15.0330908073317,15.0697689062402,12.7509848641924,10.1131679532339,12.2953642384106,13.1771308837836,21.0861392274323,27.214142552925,22.5051642566802,23.0590251740761,22.9976341198286,21.446756340199,15.1700393479483,24.4563161609033,25.6034985422741,23.8480680255096,26.8278765201123,22.2117030451801,17.9178733674049,19.5847499125568,23.5712422360248,16.269906323185,12.1006663647538,13.0810134310134,13.640448563196,13.9023571428571,10.7449958870304,12.5446421752081,11.9879439556859,15.3786711917504,13.3705625752106,11.2526682478506,12.6192307692308,12.9622426444397,10.4153758819236,13.3935432230523,93.6566353314614,78.5735612409124,84.5197804164926,95.5192146030983,92.2449095607235,99.5083759382139,82.8908211447656,58.7188932547479,91.8374202016586,70.4706770322288,74.7290318951454,90.2373435632979,73.7719921104537,79.0037743653379,74.2138291009325,30.4801362779096,33.743137254902,39.9913870945336,27.5485549495329,15.5888903110201,53.8575644200875,25.3049721037086,46.0822448309813,23.8082637729549,42.4778531880693,34.31396390631,48.5718558980362,23.7204683840749,47.2887476160203,24.7383613482355,84.1309380436237,61.8551589876703,93.7584591679507,71.1820633850303,78.731773074055,37.6214596606321,59.6168055868439,67.1167713567839,90.9622154950107,89.2526436781609,73.8876598686485,76.7105809128631,79.7202119883041,95.808760951189,86.3162280701754,71.33859415605,59.8371996930524,50.2742693493905,57.2977605569055,48.8466382287223,77.0723976538895,47.3444132115249,70.7131264916468,29.0579764494112,79.5426090216169,75.600175509653,56.0631915574033,51.1352176691996,45.821349261046,42.5937410071942,55.2717832418238,44.5000926097425,46.218679936567,46.6927292656193,48.1159769313645,43.6042175825711,47.7425534795559,43.0111460065275,53.3235258651875,52.6271018793274,40.6246722689076,47.4556263269639,50.2208715167384,36.9209054418635,31.7520606417427,61.276667515275,58.2852461254864,58.9319969550875,66.3542992285602,90.5099310903932,74.01818727491,37.4426243139864,80.1146031368821,84.4770463651975,91.6571557715125,80.8935990102234,81.0491178711682,80.774338219208,86.9452164782904,69.2606666666667,49.7799279927993,47.7700637379206,53.2883099693159,47.6497276425567,60.8696078431373,41.6857411511854,53.2500768049155,50.3447653429603,52.926695706285,51.9404103479037,46.7147458162299,49.6305395829703,46.9651973728756,46.9322258716523,53.740293040293,51.7146432092212,49.1420889479345,29.6523774145617,44.1178173579206,43.5295100938665,39.1621525048238,43.6027552101731,40.2868566741849,51.0136411332634,52.380653859117,34.7564620355412,41.3601706771125,59.6505544276121,23.9542005238063,46.9433326002492,9.58504783458492,12.4143667784369,11.9523041911625,10.3725568144173,10.7891754882958,11.3493131483039,4.65859630032644,18.4964962186915,11.4980083459788,10.936030726442,12.5954649787856,13.2369217830109,10.4133950837193,11.2619582397471,11.7958459214502,16.1487678339818,3.5630516261637,13.0344032629899,9.04469147005445,6.33824336231691,8.82607458013094,10.9769663354133,8.93354506232023,9.23219104155424,8.4471558257683,7.30179250407387,11.8036177947031,9.19590672045656,4.23548675200953,12.7111591461767,10.5325358851675,12.4573786407767,22.969713442572,18.6896321070234,11.3682048228639,12.1097275375564,11.0108176100629,13.7782355575459,13.8297063173463,9.86957126948775,12.5066895088922,11.2942067736185,11.1806701219067,14.1452657733605,11.451628306752,9.32367432150313,8.31812214790273,8.38047110603961,7.27382657120127,9.15504525645323,8.66762331838565,8.62884063908234,7.32822216543147,8.37256056527591,9.61831210191083,10.0589909852918,9.56087642631707,8.15007103189978,9.17419913419913,0
